编号(唯一标识),币别,发生日期,凭证种类,凭证号码,摘要,借方发生额,贷方发生额,余额
	170108000000000115,	156,	20170108,	 ,	 ,自定义,	0.80,	0.00,	2979.65
	170108000000000116,	156,	20170108,	 ,	 ,自定义,	0.00,	1.49,	2981.14
	170110000000000117,	156,	20170110,	0703,	 ,电子汇入,	0.00,	0.09,	2981.23
	170128000000000118,	156,	20170128,	 ,	 ,收费,	30.00,	0.00,	2951.23
	170208000000000119,	156,	20170208,	0703,	 ,电子汇入,	0.00,	0.04,	2951.27
	170301000000000120,	156,	20170301,	 ,	 ,收费,	30.00,	0.00,	2921.27
	170306000000000121,	156,	20170306,	 ,	 ,自定义,	0.00,	0.10,	2921.37
	170312000000000122,	156,	20170312,	 ,	 ,自定义,	0.00,	0.50,	2921.87
	170316000000000123,	156,	20170316,	 ,	 ,自定义,	0.00,	1.01,	2922.88
	170321000000000124,	156,	20170321,	 ,	 ,结息,	0.00,	2.07,	2924.95
	170327000000000125,	156,	20170327,	 ,	 ,自定义,	0.00,	2.08,	2927.03
	170328000000000126,	156,	20170328,	 ,	 ,收费,	30.00,	0.00,	2897.03
	170406000000000127,	156,	20170406,	 ,	 ,自定义,	0.00,	0.99,	2898.02
	170416000000000128,	156,	20170416,	 ,	 ,自定义,	0.00,	6.26,	2904.28
	170417000000000129,	156,	20170417,	 ,	 ,自定义,	0.00,	10.40,	2914.68
	170418000000000130,	156,	20170418,	 ,	 ,自定义,	0.00,	2.08,	2916.76
	170421000000000131,	156,	20170421,	 ,	 ,自定义,	0.00,	7.00,	2923.76
	170422000000000132,	156,	20170422,	 ,	 ,自定义,	0.00,	1.09,	2924.85
	170422000000000133,	156,	20170422,	 ,	 ,自定义,	0.00,	1.04,	2925.89
	170503000000000134,	156,	20170503,	 ,	 ,收费,	30.00,	0.00,	2895.89
	170508000000000135,	156,	20170508,	 ,	 ,自定义,	0.00,	1.04,	2896.93
	170510000000000136,	156,	20170510,	 ,	 ,自定义,	0.00,	1.04,	2897.97
	170528000000000137,	156,	20170528,	 ,	 ,收费,	30.00,	0.00,	2867.97
	170621000000000138,	156,	20170621,	 ,	 ,结息,	0.00,	2.22,	2870.19
	170627000000000139,	156,	20170627,	 ,	 ,收费,	30.00,	0.00,	2840.19
	170705000000000140,	156,	20170705,	 ,	 ,自定义,	0.00,	0.10,	2840.29
	170708000000000141,	156,	20170708,	5527,	420170708000080577,自定义,	64.92,	0.00,	2775.37
	170712000000000142,	156,	20170712,	5527,	420170712000143355,自定义,	1234.26,	0.00,	1541.11
	170717000000000143,	156,	20170717,	5527,	420170717000198623,自定义,	1404.00,	0.00,	137.11
	170729000000000144,	156,	20170729,	 ,	 ,收费,	30.00,	0.00,	107.11
	170810000000000145,	156,	20170810,	 ,	 ,转账存入,	0.00,	2000.00,	2107.11
	170810000000000146,	156,	20170810,	5527,	420170810000117312,自定义,	21.64,	0.00,	2085.47
	170810000000000147,	156,	20170810,	 ,	 ,转账存入,	0.00,	3000.00,	5085.47
	170812000000000148,	156,	20170812,	5527,	420170812000101278,自定义,	822.84,	0.00,	4262.63
	170816000000000149,	156,	20170816,	5527,	420170815000210215,自定义,	1404.00,	0.00,	2858.63
	170821000000000150,	156,	20170821,	 ,	 ,转账存入,	0.00,	2000.00,	4858.63
	170821000000000151,	156,	20170821,	 ,	 ,转账存入,	0.00,	1000.00,	5858.63
	170821000000000152,	156,	20170821,	 ,	 , ,	1200.00,	0.00,	4658.63
	170821000000000153,	156,	20170821,	0038,	100848983802,自定义,	101.00,	0.00,	4557.63
	170821000000000154,	156,	20170821,	0038,	100848986688,自定义,	101.00,	0.00,	4456.63
	170821000000000155,	156,	20170821,	0038,	100848989590,自定义,	101.00,	0.00,	4355.63
	170821000000000156,	156,	20170821,	0038,	100848992202,自定义,	101.00,	0.00,	4254.63
	170821000000000157,	156,	20170821,	0038,	100848995209,自定义,	101.00,	0.00,	4153.63
	170821000000000158,	156,	20170821,	0038,	100848998028,自定义,	101.00,	0.00,	4052.63
	170821000000000159,	156,	20170821,	0038,	100849001400,自定义,	101.00,	0.00,	3951.63
	170821000000000160,	156,	20170821,	0038,	100849003913,自定义,	101.00,	0.00,	3850.63
	170821000000000161,	156,	20170821,	0038,	100849007016,自定义,	101.00,	0.00,	3749.63
	170821000000000162,	156,	20170821,	0038,	100849010337,自定义,	101.00,	0.00,	3648.63
	170828000000000163,	156,	20170828,	 ,	 ,收费,	30.00,	0.00,	3618.63
	170908000000000164,	156,	20170908,	 ,	 ,自定义,	8.00,	0.00,	3610.63
	170909000000000165,	156,	20170909,	5527,	420170909000069307,自定义,	21.64,	0.00,	3588.99
	170913000000000166,	156,	20170913,	5527,	420170913000110452,自定义,	822.84,	0.00,	2766.15
	170914000000000167,	156,	20170914,	5527,	420170914000151526,自定义,	1404.00,	0.00,	1362.15
	170921000000000168,	156,	20170921,	 ,	 ,结息,	0.00,	1.73,	1363.88
	170928000000000169,	156,	20170928,	 ,	 ,收费,	30.00,	0.00,	1333.88
	171011000000000170,	156,	20171011,	5527,	420171011000108477,自定义,	21.64,	0.00,	1312.24
	171014000000000171,	156,	20171014,	5527,	420171014000098528,自定义,	822.84,	0.00,	489.40
	171026000000000172,	156,	20171026,	 ,	 ,转账存入,	0.00,	3000.00,	3489.40
	171027000000000173,	156,	20171027,	5527,	420171027000102421,自定义,	1404.00,	0.00,	2085.40
	171028000000000174,	156,	20171028,	 ,	 ,收费,	30.00,	0.00,	2055.40
	171107000000000175,	156,	20171107,	 ,	 ,收费,	360.00,	0.00,	1695.40
	171110000000000176,	156,	20171110,	5527,	420171110000152574,自定义,	21.64,	0.00,	1673.76
	171116000000000177,	156,	20171116,	 ,	 ,转账存入,	0.00,	2000.00,	3673.76
	171116000000000178,	156,	20171116,	5527,	420171116000150080,自定义,	789.02,	0.00,	2884.74
	171116000000000179,	156,	20171116,	5527,	420171116000150079,自定义,	33.82,	0.00,	2850.92
	171120000000000180,	156,	20171120,	5527,	420171120000014981,自定义,	2106.00,	0.00,	744.92
	171128000000000181,	156,	20171128,	 ,	 ,收费,	30.00,	0.00,	714.92
	171209000000000182,	156,	20171209,	5527,	420171209000002934,自定义,	43.28,	0.00,	671.64
	171221000000000183,	156,	20171221,	 ,	 ,结息,	0.00,	0.93,	672.57
	171225000000000184,	156,	20171225,	 ,	 ,转账存入,	0.00,	3702.00,	4374.57
	171225000000000185,	156,	20171225,	5527,	420171225000019291,自定义,	822.84,	0.00,	3551.73
	171226000000000186,	156,	20171226,	5527,	420171225000129513,自定义,	2106.00,	0.00,	1445.73
	171228000000000187,	156,	20171228,	 ,	 ,收费,	30.00,	0.00,	1415.73
	171230000000000188,	156,	20171230,	0038,	101184812292,自定义,	100.00,	0.00,	1315.73
	171230000000000189,	156,	20171230,	0038,	101184812632,自定义,	100.00,	0.00,	1215.73
	171230000000000190,	156,	20171230,	0038,	101184811456,自定义,	100.00,	0.00,	1115.73
	171230000000000191,	156,	20171230,	0038,	101184811577,自定义,	100.00,	0.00,	1015.73
	171230000000000192,	156,	20171230,	0038,	101184811696,自定义,	100.00,	0.00,	915.73
	171230000000000193,	156,	20171230,	0038,	101184811821,自定义,	100.00,	0.00,	815.73
	171230000000000194,	156,	20171230,	0038,	101184814178,自定义,	100.00,	0.00,	715.73
	171230000000000195,	156,	20171230,	0038,	101184815159,自定义,	100.00,	0.00,	615.73
	171230000000000196,	156,	20171230,	0038,	101184814930,自定义,	100.00,	0.00,	515.73
	171230000000000197,	156,	20171230,	0038,	101184816211,自定义,	100.00,	0.00,	415.73
	171230000000000198,	156,	20171230,	0038,	101184816547,自定义,	100.00,	0.00,	315.73
	171230000000000199,	156,	20171230,	0038,	101184816880,自定义,	100.00,	0.00,	215.73
	171230000000000200,	156,	20171230,	0038,	101184815922,自定义,	100.00,	0.00,	115.73
	171230000000000201,	156,	20171230,	0038,	101184817544,自定义,	100.00,	0.00,	15.73
	180108000000000202,	156,	20180108,	 ,	 ,自定义,	11.20,	0.00,	4.53
